The number of skill builders is 100
index,problem_set_id
0,6913
1,6402
2,204037
3,9222
4,6921
5,21257
6,5898
7,10763
8,7179
9,10765
10,7182
11,10767
12,7183
13,7184
14,7185
15,236309
16,26902
17,10264
18,7192
19,10265
20,6937
21,7195
22,7196
23,31260
24,9244
25,9245
26,5918
27,6943
28,8741
29,31277
30,10293
31,11829
32,11831
33,5945
34,11836
35,6465
36,6473
37,5961
38,5962
39,5965
40,5968
41,31825
42,10833
43,5969
44,5976
45,14168
46,37980
47,7012
48,10597
49,7014
50,14442
51,7020
52,24173
53,13935
54,11893
55,6009
56,11898
57,7035
58,11899
59,6018
60,14211
61,6022
62,8585
63,37002
64,164496
65,6039
66,19610
67,8864
68,12450
69,19362
70,13731
71,14247
72,15528
73,37055
74,6849
75,37570
76,6851
77,39885
78,9423
79,9424
80,10195
81,9428
82,9180
83,8928
84,6891
85,8946
86,7155
87,37876
88,7156
89,7157
90,8949
91,7158
92,7159
93,7160
94,39162
95,7165
96,37374
97,6910
98,7166
99,7167
